id,name,category,a125,a250,a500,a1000,a2000,a4000,NRC,source,notes
rug-medium,"Area rug, medium pile, on hard floor","Floors",0.04,0.08,0.20,0.45,0.60,0.65,0.35,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).","A loose rug covers only part of the floor — scale by the area it actually covers."
rubber-floor,"Rubber / PVC sports floor tile","Floors",0.02,0.03,0.04,0.04,0.04,0.04,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
glass-window,"Ordinary window glass","Glass & wood",0.35,0.25,0.18,0.12,0.07,0.04,0.15,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
glass-heavy-plate,"Heavy plate glass","Glass & wood",0.18,0.06,0.04,0.03,0.02,0.02,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
plywood-panel,"Plywood panel (10 mm, air gap)","Glass & wood",0.28,0.22,0.17,0.09,0.10,0.11,0.15,"Bies, D. & Hansen, C. — Engineering Noise Control, appendix absorption tables.","Panel resonator — useful low-mid absorption."
wood-paneling,"Wood paneling on battens","Glass & wood",0.30,0.25,0.20,0.17,0.15,0.10,0.20,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
solid-wood-door,"Solid wood door","Glass & wood",0.14,0.10,0.06,0.08,0.10,0.10,0.10,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
osb-panel,"OSB / chipboard panel (10 mm, air gap)","Glass & wood",0.25,0.20,0.15,0.10,0.10,0.10,0.15,"Bies, D. & Hansen, C. — Engineering Noise Control, appendix absorption tables.","Panel resonator — modest low-frequency absorption over a cavity."
hardboard-panel,"Hardboard (3 mm) on battens, air gap","Glass & wood",0.20,0.15,0.10,0.10,0.10,0.10,0.10,"Bies, D. & Hansen, C. — Engineering Noise Control, appendix absorption tables.","Thin panel resonator tuned low; little mid/high absorption."
curtains-light,"Curtains, lightweight, draped","Soft furnishings",0.05,0.06,0.39,0.63,0.70,0.73,0.45,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
curtains-heavy,"Curtains, heavy, deep folds","Soft furnishings",0.14,0.35,0.55,0.72,0.70,0.65,0.60,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
upholstered-seat-fabric,"Upholstered seat, fabric, empty","Soft furnishings",0.19,0.37,0.56,0.67,0.61,0.59,0.55,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).",""
upholstered-seat-leather,"Upholstered seat, leather, empty","Soft furnishings",0.15,0.27,0.39,0.34,0.48,0.52,0.35,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).",""
mattress,"Mattress, bare","Soft furnishings",0.22,0.55,0.70,0.70,0.73,0.75,0.65,"Bies, D. & Hansen, C. — Engineering Noise Control, appendix absorption tables.",""
bookshelf-filled,"Filled bookshelf","Soft furnishings",0.30,0.40,0.40,0.30,0.30,0.30,0.35,"Bies, D. & Hansen, C. — Engineering Noise Control, appendix absorption tables.","Acts as a partial diffuser/absorber."
audience-occupied-upholstered,"Audience, occupied upholstered seats (per m²)","Soft furnishings",0.39,0.57,0.80,0.94,0.92,0.87,0.80,"Beranek, L. & Mellow, T. — Acoustics: Sound Fields and Transducers; standard audience/seating absorption tables.","Per m² of seated audience — use for occupied home-theatre seating."
wooden-chairs-empty,"Wooden chairs, unoccupied (per m²)","Soft furnishings",0.02,0.02,0.03,0.04,0.04,0.04,0.05,"Beranek, L. & Mellow, T. — Acoustics: Sound Fields and Transducers; standard audience/seating absorption tables.",""
mineral-wool-50,"Mineral wool, 50 mm, on wall","Porous absorbers",0.15,0.55,0.90,1.00,1.00,1.00,0.85,"Knauf / Rockwool mineral-wool acoustic board published datasheets.",""
mineral-wool-100,"Mineral wool, 100 mm, on wall","Porous absorbers",0.45,0.95,1.00,1.00,1.00,1.00,1.00,"Knauf / Rockwool mineral-wool acoustic board published datasheets.",""
mineral-wool-50-gap,"Mineral wool, 50 mm, 50 mm air gap","Porous absorbers",0.40,0.85,1.00,1.00,1.00,1.00,0.95,"Knauf / Rockwool mineral-wool acoustic board published datasheets.","Air gap boosts low-mid absorption."
owens-703-25,"Rigid fiberglass 703, 25 mm","Porous absorbers",0.11,0.28,0.68,0.90,0.93,0.96,0.70,"Owens Corning 700-series rigid fiberglass board published datasheet.",""
owens-703-50,"Rigid fiberglass 703, 50 mm","Porous absorbers",0.17,0.86,1.00,1.00,1.00,1.00,0.95,"Owens Corning 700-series rigid fiberglass board published datasheet.",""
owens-703-100,"Rigid fiberglass 703, 100 mm","Porous absorbers",0.65,1.00,1.00,1.00,1.00,1.00,1.00,"Owens Corning 700-series rigid fiberglass board published datasheet.",""
acoustic-foam-50,"Open-cell acoustic foam, 50 mm","Porous absorbers",0.08,0.25,0.60,0.90,0.95,0.98,0.70,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).","Weak below 250 Hz despite popularity."
acoustic-foam-25,"Open-cell acoustic foam, 25 mm","Porous absorbers",0.05,0.12,0.30,0.65,0.85,0.95,0.50,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).",""
egg-crate-foam-50,"Convoluted egg-crate foam, 50 mm","Porous absorbers",0.05,0.18,0.45,0.70,0.85,0.90,0.55,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).","Profiled foam performs like thinner flat foam — weak below 250 Hz."
mineral-wool-150,"Mineral wool, 150 mm, on wall","Porous absorbers",0.65,1.00,1.00,1.00,1.00,1.00,1.00,"Knauf / Rockwool mineral-wool acoustic board published datasheets.","Thicker slab extends absorption further into the bass."
polyester-batt-50,"Polyester acoustic batt, 50 mm","Porous absorbers",0.12,0.45,0.85,1.00,1.00,1.00,0.85,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).","Recycled-PET batt; planning estimate modelled as an equivalent porous absorber."
wood-wool-board,"Wood-wool cement board, 25 mm","Porous absorbers",0.10,0.20,0.45,0.55,0.60,0.55,0.45,"Vorländer, M. — Auralization (Springer), standard material tables.","Cement-bonded wood fibre (e.g. Heraklith); a mid-range absorber."
acoustic-plaster,"Acoustic plaster, sprayed (~25 mm)","Porous absorbers",0.17,0.40,0.66,0.65,0.62,0.68,0.60,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).","Seamless porous finish; performance depends on thickness and backing."
fabric-panel-50,"Fabric-wrapped panel, 50 mm","Acoustic panels",0.16,0.55,0.95,1.00,1.00,0.98,0.90,"Knauf / Rockwool mineral-wool acoustic board published datasheets.",""
fabric-panel-100,"Fabric-wrapped panel, 100 mm","Acoustic panels",0.52,0.96,1.00,1.00,1.00,0.99,1.00,"Knauf / Rockwool mineral-wool acoustic board published datasheets.",""
fabric-panel-50-gap,"Fabric panel, 50 mm + 100 mm gap","Acoustic panels",0.45,0.90,1.00,1.00,1.00,0.98,1.00,"Knauf / Rockwool mineral-wool acoustic board published datasheets.","Best broadband value for the money."
pet-felt-panel-12,"PET felt panel, 12 mm","Acoustic panels",0.03,0.07,0.32,0.62,0.78,0.82,0.45,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).",""
pet-felt-panel-24,"PET felt panel, 24 mm (double layer)","Acoustic panels",0.05,0.15,0.50,0.80,0.85,0.85,0.60,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).",""
perforated-wood-panel,"Perforated wood panel + backing","Acoustic panels",0.25,0.55,0.80,0.85,0.60,0.40,0.70,"Vorländer, M. — Auralization (Springer), standard material tables.","Helmholtz behaviour, tuned mid absorption."
corner-trap-broadband,"Broadband corner trap (300 mm)","Bass traps",0.50,0.85,1.00,1.00,1.00,1.00,0.95,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).","Floor-to-ceiling triangular corner fill."
superchunk-corner,"Superchunk corner (mineral wool)","Bass traps",0.60,0.95,1.00,1.00,1.00,1.00,1.00,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).",""
membrane-trap-tuned,"Tuned membrane trap (~60 Hz)","Bass traps",0.75,0.45,0.20,0.12,0.10,0.10,0.20,"Vorländer, M. — Auralization (Springer), standard material tables.","Narrowband — targets a specific room mode."
tube-trap,"Cylindrical tube trap (corner, ~280 mm)","Bass traps",0.45,0.70,0.85,0.90,0.85,0.80,0.85,"Cox, T. J. & D’Antonio, P. — Acoustic Absorbers and Diffusers (3rd ed., CRC Press).","Free-standing cylindrical corner absorber; one side can be reflective."
ceiling-tile-mineral,"Mineral-fiber ceiling tile (15 mm)","Ceiling",0.34,0.55,0.68,0.78,0.80,0.78,0.70,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
ceiling-tile-suspended,"Suspended acoustic tile + plenum","Ceiling",0.55,0.68,0.72,0.78,0.82,0.80,0.75,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).","Plenum gap improves low-frequency absorption."
gypsum-ceiling,"Gypsum board ceiling","Ceiling",0.15,0.10,0.06,0.04,0.04,0.05,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
plaster-ceiling,"Plaster ceiling","Ceiling",0.02,0.02,0.03,0.04,0.05,0.05,0.05,"Standard architectural-acoustics coefficient tables (ISO 354 / ASTM C423 measured).",""
person-seated,"Person, seated (per m² of audience)","People",0.16,0.40,0.55,0.65,0.70,0.70,0.60,"Bies, D. & Hansen, C. — Engineering Noise Control, appendix absorption tables.",""
person-standing,"Adult, standing (per person, sabins)","People",0.18,0.40,0.46,0.46,0.51,0.46,0.45,"Bies, D. & Hansen, C. — Engineering Noise Control, appendix absorption tables.","Value is per person, not per m²."
